Chapter,Verse,Title,Author,URL
2,1,Tamil Bhagavad Gita Chp2  Sloka01,Chinmaya,https://www.youtube.com/embed/NZW009ow6f4
2,2,Tamil Bhagavad Gita Chp2 Sloka02,Chinmaya,https://www.youtube.com/embed/fUC6q3Rw9f4
2,3,Tamil Bhagavad Gita Chp2  Sloka03,Chinmaya,https://www.youtube.com/embed/00FO0LBiHMA
2,4,Tamil Bhagavad Gita Chp2  Sloka04,Chinmaya,https://www.youtube.com/embed/idecMH1uTH4
2,5,Tamil Bhagavad Gita Chp2  Sloka05,Chinmaya,https://www.youtube.com/embed/-KCQtdqXrsE
2,6,Tamil Bhagavad Gita Chp2  Sloka06,Chinmaya,https://www.youtube.com/embed/rbr9ZX69fTk
2,7,Tamil Bhagavad Gita Chp2  Sloka07,Chinmaya,https://www.youtube.com/embed/_iJDPRkSLZc
2,8,Tamil Bhagavad Gita Chp2  Sloka08,Chinmaya,https://www.youtube.com/embed/aZ3jA71728o
2,9,Tamil Bhagavad Gita Chp2  Sloka09,Chinmaya,https://www.youtube.com/embed/gRHoAIA2hO4
2,10,Tamil Bhagavad Gita Chp2  Sloka10,Chinmaya,https://www.youtube.com/embed/kQjGpBPAOjc
2,11,Tamil Bhagavad Gita Chp2  Sloka11,Chinmaya,https://www.youtube.com/embed/o0cilDoKUdE
2,12,Tamil Bhagavad Gita Chp2  Sloka12,Chinmaya,https://www.youtube.com/embed/1cr4gf51nHw
2,13,Tamil Bhagavad Gita Chp2  Sloka13,Chinmaya,https://www.youtube.com/embed/iPVEwFrtBC0
2,14,Tamil Bhagavad Gita Chp2  Sloka14,Chinmaya,https://www.youtube.com/embed/jXZQmi1L4wM
2,15,Tamil Bhagavad Gita Chp2  Sloka15,Chinmaya,https://www.youtube.com/embed/6rn9gba0RoQ
2,16,Tamil Bhagavad Gita Chp2  Sloka16,Chinmaya,https://www.youtube.com/embed/kFH2v0ktUH8
2,17,Tamil Bhagavad Gita Chp2  Sloka17,Chinmaya,https://www.youtube.com/embed/DG9koceupfw
2,18,Tamil Bhagavad Gita Chp2  Sloka18,Chinmaya,https://www.youtube.com/embed/Byufk4qv0Eg
2,19,Tamil Bhagavad Gita Chp2  Sloka19,Chinmaya,https://www.youtube.com/embed/GOtED9oUCnc
2,20,Tamil Bhagavad Gita Chp2  Sloka20,Chinmaya,https://www.youtube.com/embed/8tgU0FRK--k
2,21,Tamil Bhagavad Gita Chp2  Sloka21,Chinmaya,https://www.youtube.com/embed/k-QAZpTpFMk
2,22,Tamil Bhagavad Gita Chp2  Sloka22,Chinmaya,https://www.youtube.com/embed/hQx-HTrm8rM
2,23,Tamil Bhagavad Gita Chp2  Sloka23,Chinmaya,https://www.youtube.com/embed/2I0qRtuawdA
2,24,Tamil Bhagavad Gita Chp2  Sloka24,Chinmaya,https://www.youtube.com/embed/Qx-wJsw6rv0
2,25,Tamil Bhagavad Gita Chp2  Sloka25,Chinmaya,https://www.youtube.com/embed/-rZdES831kE
2,26,Tamil Bhagavad Gita Chp2  Sloka26,Chinmaya,https://www.youtube.com/embed/ckiLCWI0acI
2,27,Tamil Bhagavad Gita Chp2  Sloka27,Chinmaya,https://www.youtube.com/embed/tP2WcUv9pts
2,28,Tamil Bhagavad Gita Chp2  Sloka28,Chinmaya,https://www.youtube.com/embed/s8b-5EwJwkg
2,29,Tamil Bhagavad Gita Chp2  Sloka29,Chinmaya,https://www.youtube.com/embed/D0bWun5CR3U
2,30,Tamil Bhagavad Gita Chp2  Sloka30,Chinmaya,https://www.youtube.com/embed/bXwiTVRJGRc
2,31,Tamil Bhagavad Gita Chp2  Sloka31,Chinmaya,https://www.youtube.com/embed/HLPPVyaLTvk
2,32,Tamil Bhagavad Gita Chp2  Sloka32,Chinmaya,https://www.youtube.com/embed/mPiOiLFVn_4
2,33,Tamil Bhagavad Gita Chp2  Sloka33,Chinmaya,https://www.youtube.com/embed/TMF5AEAwcqg
2,34,Tamil Bhagavad Gita Chp2  Sloka34,Chinmaya,https://www.youtube.com/embed/mtHCUTyv8ag
2,35,Tamil Bhagavad Gita Chp2  Sloka35&36,Chinmaya,https://www.youtube.com/embed/ULVlDRje-qs
2,36,,Chinmaya,https://www.youtube.com/embed/ULVlDRje-qs
2,37,Tamil Bhagavad Gita Chp2  Sloka37,Chinmaya,https://www.youtube.com/embed/ynLU2qYiFPc
2,38,Tamil Bhagavad Gita Chp2  Sloka38,Chinmaya,https://www.youtube.com/embed/EIivs9EI1Rw
2,39,Tamil Bhagavad Gita Chp2  Sloka39,Chinmaya,https://www.youtube.com/embed/XUoJhxD5Jgk
2,40,Tamil Bhagavad Gita Chp2  Sloka40,Chinmaya,https://www.youtube.com/embed/bVWpwaHpm4c
2,41,Tamil Bhagavad Gita Chp2  Sloka41,Chinmaya,https://www.youtube.com/embed/enCOjxHONQc
2,42,Tamil Bhagavad Gita Chp2  Sloka42,Chinmaya,https://www.youtube.com/embed/P_mMRzVVPI0
2,43,Tamil Bhagavad Gita Chp2  Sloka43,Chinmaya,https://www.youtube.com/embed/p6vA7KM5YfI
2,44,Tamil Bhagavad Gita Chp2  Sloka44,Chinmaya,https://www.youtube.com/embed/NIjoq-Ck5V8
2,45,Tamil Bhagavad Gita Chp2  Sloka45,Chinmaya,https://www.youtube.com/embed/nObYMm_tkww
2,46,Tamil Bhagavad Gita Chp2  Sloka46,Chinmaya,https://www.youtube.com/embed/I71HdfiLHMQ
2,47,Tamil Bhagavad Gita Chp2  Sloka47,Chinmaya,https://www.youtube.com/embed/a7a52Hev3bs
2,48,Tamil Bhagavad Gita Chp2  Sloka48,Chinmaya,https://www.youtube.com/embed/DX_aeqiUSkk
2,49,Tamil Bhagavad Gita Chp2  Sloka49,Chinmaya,https://www.youtube.com/embed/hRTOf6bJcOQ
2,50,Tamil Bhagavad Gita Chp2  Sloka50,Chinmaya,https://www.youtube.com/embed/_gASPCV95uE
2,51,Tamil Bhagavad Gita Chp2  Sloka51,Chinmaya,https://www.youtube.com/embed/9cvTP3rNSqM
2,52,Tamil Bhagavad Gita Chp2  Sloka52,Chinmaya,https://www.youtube.com/embed/q7gqU1Eylpg
2,53,Tamil Bhagavad Gita Chp2  Sloka53,Chinmaya,https://www.youtube.com/embed/AvyrsY4DmCY
2,54,Tamil Bhagavad Gita Chp2  Sloka54,Chinmaya,https://www.youtube.com/embed/96y_ZPn78G4
2,55,Tamil Bhagavad Gita Chp2  Sloka55,Chinmaya,https://www.youtube.com/embed/2vLjoglae1Y
2,56,Tamil Bhagavad Gita Chp2  Sloka56,Chinmaya,https://www.youtube.com/embed/draOyaXkb_0
2,57,Tamil Bhagavad Gita Chp2  Sloka57,Chinmaya,https://www.youtube.com/embed/FX0e_J5a-3s
2,58,Tamil Bhagavad Gita Chp2  Sloka58,Chinmaya,https://www.youtube.com/embed/X1-ECK47S74
2,59,Tamil Bhagavad Gita Chp2  Sloka59,Chinmaya,https://www.youtube.com/embed/AB_lHDU4eLc
2,60,Tamil Bhagavad Gita Chp2  Sloka60,Chinmaya,https://www.youtube.com/embed/BbTHz8rlD4A
2,61,Tamil Bhagavad Gita Chp2  Sloka61,Chinmaya,https://www.youtube.com/embed/WrMFr5HBRpY
2,62,Tamil Bhagavad Gita Chp2  Sloka62,Chinmaya,https://www.youtube.com/embed/s05ZEzDF1s4
2,63,Tamil Bhagavad Gita Chp2  Sloka63,Chinmaya,https://www.youtube.com/embed/XdkXwqq4U7A
2,64,Tamil Bhagavad Gita Chp2  Sloka64,Chinmaya,https://www.youtube.com/embed/LkQEI_YEblk
2,65,Tamil Bhagavad Gita Chp2  Sloka65,Chinmaya,https://www.youtube.com/embed/SejHQKpWFvA
2,66,Tamil Bhagavad Gita Chp2  Sloka66,Chinmaya,https://www.youtube.com/embed/xYwgnYuOwEE
2,67,Tamil Bhagavad Gita Chp2  Sloka67,Chinmaya,https://www.youtube.com/embed/gNPLefz78gQ
2,68,Tamil Bhagavad Gita Chp2  Sloka68,Chinmaya,https://www.youtube.com/embed/4y9ilvqd1bU
2,69,Tamil Bhagavad Gita Chp2  Sloka69,Chinmaya,https://www.youtube.com/embed/1uZHIdeqvIg
2,70,Tamil Bhagavad Gita Chp2  Sloka70,Chinmaya,https://www.youtube.com/embed/5HdIJIci2oM
2,71,Tamil Bhagavad Gita Chp2  Sloka71,Chinmaya,https://www.youtube.com/embed/eBLzm6oK9JU
2,72,Tamil Bhagavad Gita Chp2  Sloka72,Chinmaya,https://www.youtube.com/embed/xanRL399IQQ
