Chapter,Verse,Title,Author,URL
3,1,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 128,Swami Velukkudi-Intro,https://www.youtube.com/embed/KH4AFWodD-g
3,1,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 129,Swami Velukkudi,https://www.youtube.com/embed/dZUS2_IEB7E
3,2,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 129,Swami Velukkudi,https://www.youtube.com/embed/dZUS2_IEB7E
3,3,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 130,Swami Velukkudi,https://www.youtube.com/embed/2lIEUPtYFxw
3,4,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 131,Swami Velukkudi,https://www.youtube.com/embed/ONzFdgdXwyQ
3,6,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 133,Swami Velukkudi,https://www.youtube.com/embed/yuwKhBbQPs0
3,7,The sweet nectar of Krishna | Bhagavad Gita discourse | Episode - 134,Swami Velukkudi,https://www.youtube.com/embed/3B1ggI64rN0
3,8,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 135,Swami Velukkudi,https://www.youtube.com/embed/5ZCOMMB2hsU
3,9,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 136,Swami Velukkudi-01,https://www.youtube.com/embed/xrKSJLW9e2E
3,9,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 137,Swami Velukkudi-02,https://www.youtube.com/embed/VqjxFRrIO2E
3,10,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 138,Swami Velukkudi,https://www.youtube.com/embed/8L-GoXlkNj4
3,11,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 139,Swami Velukkudi,https://www.youtube.com/embed/bkwqSEI6cc8
3,12,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 140,Swami Velukkudi,https://www.youtube.com/embed/dx4eYgf10Pw
3,13,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 141,Swami Velukkudi,https://www.youtube.com/embed/sKLmH-D1XEI
3,14,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 142,Swami Velukkudi,https://www.youtube.com/embed/7JxEXtqi7bg
3,15,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 142,Swami Velukkudi,https://www.youtube.com/embed/7JxEXtqi7bg
3,16,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 143,Swami Velukkudi,https://www.youtube.com/embed/HFWNSmtsTfs
3,17,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 144,Swami Velukkudi,https://www.youtube.com/embed/fX5DmXtwUbg
3,18,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 145,Swami Velukkudi,https://www.youtube.com/embed/dirkb8pPMns
3,19,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 146,Swami Velukkudi,https://www.youtube.com/embed/kMMdfKFNcXo
3,20,The Ambrosia of Kannan | Bhagavad Gita Discourse | Episode - 147,Swami Velukkudi,https://www.youtube.com/embed/AaOanbcDY_w
3,21,The Sweet Nectar of Kannan | Bhagavad Gita Discourse | Episode - 148,Swami Velukkudi,https://www.youtube.com/embed/Ngv3kqnLuvE
3,22,The Nectar of Krishna | Bhagavad Gita discourse | Episode - 149,Swami Velukkudi,https://www.youtube.com/embed/bKzGap7brZQ
3,23,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 150,Swami Velukkudi,https://www.youtube.com/embed/Bko20VZDnuY
3,24,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 151,Swami Velukkudi,https://www.youtube.com/embed/272OhRjYXCY
3,25,The Divine Nectar of Kannan | Bhagavad Gita Discourse | Episode - 152,Swami Velukkudi,https://www.youtube.com/embed/c_05iYgrHdA
3,26,The Nectar of Krishna | Bhagavad Gita Discourse | Episode - 153,Swami Velukkudi,https://www.youtube.com/embed/EFeb8VCNrWA
3,27,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 154,Swami Velukkudi,https://www.youtube.com/embed/vO3FO9J6gug
3,28,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 155,Swami Velukkudi,https://www.youtube.com/embed/wbrhlsti6-A
3,29,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 156,Swami Velukkudi,https://www.youtube.com/embed/GIHDSTLwnqo
3,30,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 157,Swami Velukkudi,https://www.youtube.com/embed/9GO4HF8K89w
3,31,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 158,Swami Velukkudi,https://www.youtube.com/embed/6WEVZhTMQj8
