Chapter,Verse,Title,Author,URL
2,36,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 86,Swami Velukkudi,https://www.youtube.com/embed/U2jD4xm2ssc
2,37,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 87,Swami Velukkudi,https://www.youtube.com/embed/EmbEIR-mfwU
2,38,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 88,Swami Velukkudi,https://www.youtube.com/embed/4JdMCvHzK94
2,39,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 89,Swami Velukkudi,https://www.youtube.com/embed/kxLH4EiNbZA
2,40,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 90,Swami Velukkudi,https://www.youtube.com/embed/-470oC2SfHw
2,41,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 91,Swami Velukkudi,https://www.youtube.com/embed/XB5cCu5mRhI
2,42,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 92,Swami Velukkudi,https://www.youtube.com/embed/8zqNKd_D5YI
2,43,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 93,Swami Velukkudi-01,https://www.youtube.com/embed/7T9knt1F5uQ
2,44,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 94,Swami Velukkudi-01,https://www.youtube.com/embed/mPhYX4emymQ
2,43,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 95,Swami Velukkudi-02,https://www.youtube.com/embed/vaSdPTuopFU
2,44,The Divine Nectar of Kannan | Bhagavad Gita Discourse | Episode - 96,Swami Velukkudi-02,https://www.youtube.com/embed/b_gALBOWZsI
2,45,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 97,Swami Velukkudi-01,https://www.youtube.com/embed/0DB_XfQKHUc
2,45,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 98,Swami Velukkudi-02,https://www.youtube.com/embed/HOND21cu6hg
2,46,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 99,Swami Velukkudi,https://www.youtube.com/embed/t3HTTV344AU
2,47,Krishna's Nectar | Bhagavad Gita discourse | Episode - 100,Swami Velukkudi-01,https://www.youtube.com/embed/5GEiP6NlKeE
2,47,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 101,Swami Velukkudi-02,https://www.youtube.com/embed/Pqvkp5priDY
2,47,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 102,Swami Velukkudi-03,https://www.youtube.com/embed/pXD3eRHfM84
2,48,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 103,Swami Velukkudi,https://www.youtube.com/embed/8v0671a6fZo
2,50,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 104,Swami Velukkudi-01,https://www.youtube.com/embed/KoOF-3xftk4
2,50,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 105,Swami Velukkudi-02,https://www.youtube.com/embed/hM2aa6CTQ5c
2,51,The nectar of Krishna | Bhagavad Gita discourse | Episode - 106,Swami Velukkudi,https://www.youtube.com/embed/Gthgp0iTF1k
2,52,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 107,Swami Velukkudi-01,https://www.youtube.com/embed/iv7xxuw7RNU
2,52,Kannan's Nectar | Bhagavad Gita Discourse | Episode - 108,Swami Velukkudi-02,https://www.youtube.com/embed/mn9In33P0gA
2,53,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 109,Swami Velukkudi,https://www.youtube.com/embed/wpSKa3c3_FE
2,54,The Ambrosial Words of Kannan | Bhagavad Gita Discourse | Episode - 110,Swami Velukkudi,https://www.youtube.com/embed/jLid4ncCuus
2,58,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 111,Swami Velukkudi,https://www.youtube.com/embed/yixh9Q8lDmg
2,57,Kannan's Eternal Nectar | Bhagavad Gita discourse | Episode - 112,Swami Velukkudi,https://www.youtube.com/embed/jPW-eQltXM4
2,49,The Ambrosia of Kannan | Bhagavad Gita discourse | Episode - 113,Swami Velukkudi,https://www.youtube.com/embed/yCJ1yf3Q-gk
2,55,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 114,Swami Velukkudi,https://www.youtube.com/embed/qmxpBLDRVws
2,59,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 115,Swami Velukkudi,https://www.youtube.com/embed/3MaeuhPyU9Q
2,64,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 119,Swami Velukkudi,https://www.youtube.com/embed/snOyu3nm35Y
2,65,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 120,Swami Velukkudi,https://www.youtube.com/embed/Jmw-2pkcAyo
2,66,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 121,Swami Velukkudi,https://www.youtube.com/embed/s-cVnKWB_1A
2,67,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 122,Swami Velukkudi,https://www.youtube.com/embed/ljRvkJgI9DI
2,70,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 125,Swami Velukkudi,https://www.youtube.com/embed/YfU3pvgyEec
2,72,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 126,Swami Velukkudi,https://www.youtube.com/embed/rVWEu6_fDWY
2,72,Kannanin aarumudhu | Bhagavad gita discourse | Episode - 127,Swami Velukkudi-Recap,https://www.youtube.com/embed/GUcSl_oRRHE
